Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1 Part Number~String~Supplier 1 Part Number~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~opo_v3.PrjPcb|ReportField=ProjectFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\opo_v3.PrjPcb|ReportField=Title~Bill of Materials For Project [opo_v3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~103|ReportField=ReportTime~12:08:36 PM|ReportField=ReportDate~6/20/2014|ReportField=ReportDateTime~6/20/2014 12:08:36 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~William Huang|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/20/2014|ReportField=CurrentTime~12:04:23 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\accero_humid_rtc.SchDoc|ReportField=DocumentName~accero_humid_rtc.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~William Huang|ReportField=ImagePath~|ReportField=ModifiedDate~6/5/2014|ReportField=Organization~|ReportField=ProjectName~opo_v3.PrjPcb|ReportField=Revision~3.0|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Opo|ReportField=DataSourceFileName~opo_v3.PrjPcb|ReportField=DataSourceFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\opo_v3.PrjPcb
2.2nF|2.2nF 10% 50V X7R ceramic cap|C34|0402|C_2.2n_0402_ceramic|1|445-1257-1-ND|Digikey|
Tantalum capacitor|Tantalum capacitor, 4.7 uF, 0603 package|C39|0603 - Polar Marking|C_4.7u_0603_tantalum|1||Digi-Key|511-1496-1-ND
220pF 0402 ceramic cap|220pF 5% 50 V C0G NP0 0402 ceramic cap|C49|0402|C_220pf_0402_ceramic|1|490-1293-1-ND|Digikey|
Schottky diode|Schottky diode 30 V 0.1 A 0603|D1|0603 - DIODE|D_SCHOTTKY_30V_0.1A_0603|1||Digi-Key|641-1282-1-ND
LED, Green|LED, Green,  0402|D2|0402 - DIODE|D_LED_GREEN_0402|1||Digi-Key|511-1592-1-ND
Ferrite Bead|Ferrite Bead, 150 mA, 0402 package|FB1|0402|FB_150mA_0402|1||Digi-Key|587-1835-1-ND
micro USB-B|CONN USB MICRO B RECPT SMT R/A|J1|Micro USB-B|Micro USB|1||Digi-Key|609-4616-6-ND
15nH chip inductor|15 nH, 5%, 460mOhm, 2.3Ghz, 0402 chip inductor|L1|0402|L_15nH_0402|1|587-1521-1-ND|Digikey|
10uH chip inductor|10uH, 10%, 32MHz, 468 mOhm, 0603, chip inductor|L2|0603|L_10u_0603|1|LBMF1608T100K|Digikey|
DMG1013UW|P-CHANNEL ENHANCEMENT MODE MOSFET|Q1|SC70-3|DMG1013UW|1||Digi-Key|DMG1013UW-7DICT-ND
Si1300BDL|MOSFET N-CH D-S 20V SC-70-3|Q2|SC70-3|Si1300BDL|1||Digi-Key|SI1300BDL-T1-GE3DKR-ND
Chip resistor|Chip resistor, 1M, 0402 package, Chip resistor, 100K, 0402 package, Chip resistor, 1M, 0402 package, Chip resistor, 100K, 0402 package, Chip resistor, 1M, 0402 package, Chip resistor, 100K, 0402 package, Chip resistor, 1.24M, 0402 package, Chip resistor, 37.4K, 0402 package, Chip resistor, 27K, 0402 package, Chip resistor, 422K, 0402 package, Chip resistor, 270K, 0402 package, Chip resistor, 37.4K, 0402 package, Chip resistor, 422K, 0402 package, Chip resistor, 1.24M, 0402 package, Chip resistor, 10K, 0402 package, Chip resistor, 10K, 0402 package, Chip resistor, 1K, 0402 package, Chip resistor, 100K, 0402 package, Chip resistor, 100K, 0402 package, Chip resistor, 100K, 0402 package|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R20, R21, R22, R23|0402|R_1M_0402, R_100K_0402, R_1M_0402, R_100K_0402, R_1M_0402, R_100K_0402, R_1.24M_0402, R_37.4K_0402, R_27K_0402, R_422K_0402, R_270K_0402, R_37.4K_0402, R_422K_0402, R_1.24M_0402, R_10K_0402, R_10K_0402, R_1K_0402, R_100K_0402, R_100K_0402, R_100K_0402|20||Digi-Key|541-1.00MLCT-ND, 541-100KLCT-ND, 541-1.00MLCT-ND, 541-100KLCT-ND, 541-1.00MLCT-ND, 541-100KLCT-ND, 541-1.24MLCT-ND, 541-37.4KLCT-ND, 541-27.0KLCT-ND, 541-422KLCT-ND, 541-270KLCT-ND, 541-37.4KLCT-ND, 541-422KLCT-ND, 541-1.24MLCT-ND, 541-10.0KLDKR-ND, 541-10.0KLDKR-ND, 541-1.00KLCT-ND, 541-100KLCT-ND, 541-100KLCT-ND, 541-100KLCT-ND
56k 0402 Res|56 kOhm, 1%, .0603 W, 0402|R17|0402|R_56K_0402|1|RHM56.0KCDCT-ND|Digikey|
2.2 Ohm 0402 Res|2.2 Ohm, 1%, .063W, 0402|R18|0402|R_2.2_0402|1|541-2.20LLCT-ND|Digikey|
