Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-07,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,1,,1,
Label,,,,
TIME,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-2.98648e-02,0.04,-0.04,3.34,3.26
-2.98640e-02,0,0.08,3.3,3.38
-2.98632e-02,0,-0.04,3.34,3.26
-2.98624e-02,0,0.08,3.34,3.38
-2.98616e-02,0,-0.04,3.34,3.3
-2.98608e-02,0,0.08,3.34,3.38
-2.98600e-02,0,-0.04,3.34,3.3
-2.98592e-02,0,0.08,3.34,3.38
-2.98584e-02,0.04,-0.04,3.34,3.3
-2.98576e-02,0.04,0.08,3.34,3.38
-2.98568e-02,0,-0.04,3.3,3.3
-2.98560e-02,0,0.08,3.3,3.42
-2.98552e-02,0.04,-0.04,3.3,3.3
-2.98544e-02,0,0.08,3.34,3.38
-2.98536e-02,0,-0.04,3.3,3.26
-2.98528e-02,0.04,0.08,3.3,3.38
-2.98520e-02,0.04,-0.04,3.3,3.26
-2.98512e-02,0,0.08,3.3,3.38
-2.98504e-02,0,-0.04,3.34,3.3
-2.98496e-02,0,0.08,3.3,3.38
-2.98488e-02,0,-0.04,3.3,3.26
-2.98480e-02,0,0.08,3.3,3.38
-2.98472e-02,0,-0.04,3.34,3.3
-2.98464e-02,0,0.08,3.34,3.38
-2.98456e-02,0,-0.04,3.34,3.26
-2.98448e-02,0,0.08,3.3,3.38
-2.98440e-02,0.04,-0.04,3.34,3.26
-2.98432e-02,0,0.08,3.34,3.38
-2.98424e-02,0,-0.04,3.34,3.3
-2.98416e-02,0,0.08,3.34,3.38
-2.98408e-02,0,-0.04,3.34,3.26
-2.98400e-02,0,0.08,3.3,3.38
-2.98392e-02,0,-0.04,3.3,3.26
-2.98384e-02,0.04,0.08,3.34,3.38
-2.98376e-02,-0.04,-0.04,3.34,3.3
-2.98368e-02,0,0.08,3.34,3.38
-2.98360e-02,0,-0.04,3.3,3.26
-2.98352e-02,0,0.08,3.34,3.38
-2.98344e-02,0,-0.04,3.34,3.26
-2.98336e-02,0,0.08,3.3,3.38
-2.98328e-02,0,-0.04,3.34,3.3
-2.98320e-02,0,0.08,3.34,3.38
-2.98312e-02,0,-0.04,3.34,3.3
-2.98304e-02,0,0.08,3.3,3.38
-2.98296e-02,0,-0.04,3.34,3.3
-2.98288e-02,0,0.08,3.34,3.38
-2.98280e-02,0,-0.04,3.34,3.26
-2.98272e-02,0.04,0.08,3.34,3.38
-2.98264e-02,0,-0.04,3.34,3.3
-2.98256e-02,0.04,0.08,3.34,3.38
-2.98248e-02,0.04,-0.04,3.3,3.3
-2.98240e-02,0.04,0.08,3.34,3.38
-2.98232e-02,0,-0.04,3.3,3.3
-2.98224e-02,0.04,0.08,3.3,3.38
-2.98216e-02,0,-0.04,3.3,3.3
-2.98208e-02,0,0.08,3.34,3.38
-2.98200e-02,-0.04,-0.04,3.34,3.26
-2.98192e-02,0,0.08,3.3,3.38
-2.98184e-02,0,-0.04,3.3,3.26
-2.98176e-02,0,0.08,3.3,3.38
-2.98168e-02,0,0,3.34,3.26
-2.98160e-02,0,0.08,3.34,3.38
-2.98152e-02,0,-0.04,3.34,3.3
-2.98144e-02,0.04,0.08,3.34,3.38
-2.98136e-02,0,-0.04,3.34,3.26
-2.98128e-02,0,0.08,3.3,3.38
-2.98120e-02,0,-0.04,3.34,3.26
-2.98112e-02,0,0.08,3.34,3.38
-2.98104e-02,0,-0.04,3.34,3.3
-2.98096e-02,0,0.08,3.34,3.38
-2.98088e-02,0,-0.04,3.34,3.3
-2.98080e-02,0.04,0.08,3.34,3.38
-2.98072e-02,0,-0.04,3.3,3.26
-2.98064e-02,0,0.08,3.3,3.38
-2.98056e-02,0,-0.04,3.34,3.26
-2.98048e-02,0.04,0.08,3.34,3.38
-2.98040e-02,0,-0.04,3.34,3.3
-2.98032e-02,0,0.08,3.34,3.38
-2.98024e-02,0,-0.04,3.3,3.3
-2.98016e-02,0,0.08,3.34,3.38
-2.98008e-02,0,-0.04,3.34,3.3
-2.98000e-02,0,0.08,3.34,3.38
-2.97992e-02,0,-0.04,3.34,3.26
-2.97984e-02,0.04,0.08,3.34,3.38
-2.97976e-02,0,-0.04,3.3,3.3
-2.97968e-02,-0.04,0.08,3.3,3.38
-2.97960e-02,0.04,-0.04,3.3,3.26
-2.97952e-02,0,0.08,3.34,3.38
-2.97944e-02,0.04,-0.04,3.34,3.26
-2.97936e-02,0,0.08,3.34,3.38
-2.97928e-02,0,-0.04,3.3,3.3
-2.97920e-02,0.04,0.08,3.34,3.38
-2.97912e-02,0.04,-0.04,3.3,3.3
-2.97904e-02,-0.04,0.08,3.34,3.38
-2.97896e-02,0,-0.04,3.34,3.3
-2.97888e-02,0,0.08,3.34,3.38
-2.97880e-02,0,-0.04,3.34,3.26
-2.97872e-02,0,0.08,3.3,3.38
-2.97864e-02,0,-0.04,3.3,3.3
-2.97856e-02,0.04,0.08,3.3,3.38
-2.97848e-02,0,-0.04,3.3,3.26
-2.97840e-02,0,0.08,3.3,3.38
-2.97832e-02,0,-0.04,3.34,3.26
-2.97824e-02,0,0.08,3.34,3.38
-2.97816e-02,0.04,-0.04,3.34,3.26
-2.97808e-02,0,0.08,3.3,3.38
-2.97800e-02,-0.04,-0.04,3.3,3.3
-2.97792e-02,0,0.08,3.34,3.38
-2.97784e-02,0.04,-0.04,3.34,3.26
-2.97776e-02,0,0.08,3.34,3.38
-2.97768e-02,0,-0.04,3.3,3.26
-2.97760e-02,0,0.08,3.34,3.38
-2.97752e-02,0,-0.04,3.3,3.26
-2.97744e-02,0,0.08,3.3,3.38
-2.97736e-02,0,-0.04,3.3,3.26
-2.97728e-02,0,0.08,3.3,3.38
-2.97720e-02,0,-0.04,3.3,3.26
-2.97712e-02,0,0.08,3.34,3.38
-2.97704e-02,0.04,-0.04,3.3,3.26
-2.97696e-02,0,0.08,3.3,3.38
-2.97688e-02,0,-0.04,3.34,3.26
-2.97680e-02,0,0.08,3.3,3.38
-2.97672e-02,0,-0.04,3.3,3.26
-2.97664e-02,0,0.08,3.34,3.38
-2.97656e-02,0,-0.04,3.3,3.26
-2.97648e-02,0,0.08,3.34,3.38
-2.97640e-02,0,-0.04,3.34,3.3
-2.97632e-02,0,0.04,3.3,3.38
-2.97624e-02,0,-0.04,3.3,3.3
-2.97616e-02,0,0.08,3.34,3.38
-2.97608e-02,0,-0.04,3.3,3.3
-2.97600e-02,0,0.08,3.34,3.38
-2.97592e-02,0,-0.04,3.34,3.26
-2.97584e-02,0,0.08,3.34,3.38
-2.97576e-02,0,-0.04,3.34,3.26
